a	アー
zheng	ジュヨン
zhi	ジー
zhong	ジョーン
zhou	ジョウ
zhu	ジュウ
zhua	ジュワ
zhuai	ジュワイ
zhuan	ジュワン
zhuang	ジュワーン
zhui	ジュウイ
zhun	ジュン
zhuo	ジュオ
zi	ズー
zong	ゾーン
zou	ゾウ
zu	ズゥ
zuan	ズワン
zui	ズゥイ
zun	ズゥン
zuo	ズゥオ
